MÔN HỌC,111125- Đại số tuyến tính,211100- Định hướng nghề nghiệp,921204- Giáo dục quốc phòng và an ninh,"921113- Giáo dục thể chất 1_x000D_
",221104- Kiến trúc máy tính,"211132_x000D_
- Lập trình Python cơ bản (2+1*)",211131- Cấu trúc dữ liệu và giải thuật (2+1*),211560- Cơ sở dữ liệu (3+1*),211002- Cơ sở kỹ thuật lập trình (2+1*),111126- Giải tích,921114- Giáo dục thể chất 2,231005- Mạng máy tính (2+1*),911602- Pháp luật đại cương,911102- Triết học Mác - Lênin,221028- Cơ sở thẩm mỹ (2+1*),921115- Giáo dục thể chất 3,221190- Hệ điều hành (2+1*),221048- Khai thác ứng dụng số,711170- Kỹ năng mềm,211460- Lập trình hướng đối tượng (2+1*),221125- Thiết kế đồ họa cơ bản (2+1*),221129- Thiết kế web cơ bản (2+1*),"151100_x000D_
- Tiếng Anh tăng cường_x000D_
",221050- An ninh mạng (2+1*),221052- Đồ án 1,221051- Đồ họa vector (2+1*),221030- Hình họa (2+1*),911203- Kinh tế chính trị Mác - Lênin,221134- Phân tích thiết kế thuật toán,151139- Tiếng Anh 1,121249- Vật lý kỹ thuật,911302- Chủ nghĩa xã hội khoa học,291002- Đồ án 2,911409- Lịch sử Đảng Cộng Sản Việt Nam,221026- Thiết kế dàn trang (2+1*),211147- Thiết kế UI/UX (2+1*),151140- Tiếng Anh 2,215685- Tiếng Anh cho CNTT 1,221049- Trang trí (2+1*),111010- Xác suất thống kê,221144- Biên tập video (2+1*),221021- Đồ án 3,111209- Giải tích số,711136- Tâm lý học kỹ sư,221142- Thiết kế đồ họa nâng cao (2+1*),151141- Tiếng Anh 3,215687- Tiếng anh cho CNTT 2,211011- Toán rời rạc,911504- Tư tưởng Hồ Chí Minh,221145- Bố cục xa và gần (2+1*),221022- Đồ án 4,221143- Kỹ xảo video (2+1*),231007- Thực tập doanh nghiệp,231129- Tiếng anh cho CNTT 3,221182- AI tạo sinh và ứng dụng,231006- Đồ án 5,231183- Đồ án/Khóa luận tốt nghiệp,211152- Thiết kế UI/UX cho ứng dụng web và thiết bị di động (2+1*),211145- Thiết kế và quản trị Web mã nguồn mở (2+1*)
SỐ TÍN CHỈ,2,2,5,1,3,3,3,4,3,3,1,3,2,3,3,1,3,2,2,3,3,3,4,3,3,3,3,2,2,2,4,2,3,2,3,3,3,2,3,2,3,3,2,2,3,2,2,3,2,3,3,3,10,2,3,3,12,3,3
10121739,8.7,8.3,8,9,8.3,8.8,9.2,6.9,7.9,8.4,9,7.9,6.5,7.7,7,7,8.5,8.8,8.3,8.7,9,10,6,7.3,7.3,8.5,8.3,7.4,8.5,8.2,8.7,8.5,8.5,8.6,5.8,7.8,8.8,9.3,8.1,8.5,8.8,8.8,9.8,8.6,8,8.5,8.3,9.5,9.4,8,8.4,7.7,9.3,7,,,9,,
10121036,7.4,8.8,7.8,7,5.5,7.7,6.4,6.1,6.6,6.7,6,7.5,6.3,7,8,8,4.3,6.9,8.6,5.5,7,5.5,2.5,5.8,6.7,6.5,5,5.8,6.5,6.5,7.4,5.8,7.5,7,7.3,7,7.1,6.5,7.2,5.4,7,6.4,9.4,8.6,5,7.2,6.3,6,8.2,6,7,6.8,7,1,,,8.4,,
10121045,7,8.5,8.3,8,7.5,6.5,5.8,5.1,5.6,5.2,8,6.3,7.3,6.7,6.3,9,1.5,6.8,8.2,6.2,6.8,3.5,5,5.2,6.5,7.3,7,6.3,5.4,6.5,7.4,7.2,6.8,7.5,7.3,7.5,7.6,6.8,7.5,6.7,8,7.5,8.2,8.9,7,7.8,7.3,6.4,7.8,8.3,7.5,7.8,8.8,1.5,,,7.8,,
10121569,4,7.8,7.8,7,5.5,7.8,4.5,4.2,4.4,3.8,7,6.9,6.8,7.2,4.5,6,3,6.7,7.5,4.9,4.5,5.5,3.5,6.3,6.4,6.5,6.8,5.3,6.5,6,7.1,6.1,7.2,7,5.8,7.3,6.6,5.5,6.8,3.4,7,7.2,8.5,8.3,6,5.7,6,4.4,7,7.8,6.7,6.7,8.1,6,7.8,6.5,,8,6.8
10121019,6,8.8,7.8,7,4,5.7,6.3,5.1,5,5.1,8,7.3,7.3,7.7,5,7,2,6.4,8.5,6.8,7.3,6,5,4.9,6.3,6,6.3,5.5,5,6.9,6.9,7.3,6.7,6.4,7.5,7,7.9,7.8,7.8,6.2,7.3,6.7,7.3,9,6,7.4,6.3,4.1,6.4,7.5,7.5,7.4,7.8,1.5,7.6,6.9,,7.9,7
12521082,9,8.5,8,8,8.8,7.5,8.2,6.1,6.1,9.4,8,7.4,8.3,7.9,8.8,6,8,8.2,8.5,6.8,7.5,7.5,5,5.1,6.5,5.8,7.3,6.8,8.2,7.4,9.1,8,7.3,7.5,7.3,7.5,8.2,8.3,8.6,6.9,7,7.4,9.3,9,6.5,7.7,7.5,8.4,7.9,9,8,7.5,9,6.3,,,8.9,,
10121241,6.9,8.8,8,9,8.5,7.5,6.8,6,7.4,7.6,7,7.4,7.5,7.8,8.3,8,6.3,7.2,8.5,6.3,7.3,6,5.5,4.4,6.8,7.8,6.8,7,7.3,7.3,8.6,7.9,7.3,8.5,7.3,7,8.5,8.3,7.9,7.7,6.5,7.5,9.5,8.9,7.3,8.4,7.3,7.9,7.9,8.3,8.5,7.3,8.8,7,,,8.9,,
12521001,8.7,9,7.9,8,6.3,7.4,4.9,7.1,6.4,8.9,8,7.2,8.8,7.5,8,7,8.8,6.7,8.9,5.5,6.5,6,3.5,5.3,5,6,7,7.5,7.7,7.7,8.5,8.3,7.3,7.8,7,7.5,8.9,5.5,8,6.2,7,7.3,9,8.8,7.3,8.5,7.5,6.8,8.6,8.3,8.5,7.3,9.3,6.3,,,8.5,,
10121023,5.5,9,8.5,9,7,8.4,7.2,5.2,5.3,7,7,7.5,8,7.8,7.8,7,5.5,8.3,8.6,5.7,8.5,8.3,3.5,6,8.4,8.3,7.8,6.8,7.8,7.5,6.9,7.7,8,7.7,8.3,7.3,8,7.5,8.5,6.3,9,8,8,9,7.3,7.4,7,5.8,7.2,8.5,8.4,8.3,8.6,7,,,8.8,,
