Mã SV,Công dân số (2+1*),Đại số tuyến tính,Giáo dục thể chất 1,Hóa học đại cương (1.5+0.5*),Lập trình Python cơ bản (2+1*),Cơ sở dữ liệu,Cơ sở kỹ thuật lập trình (2+1*),Giải tích,Giáo dục thể chất 2,Kiến trúc máy tính,Kỹ năng mềm,Pháp luật đại cương,Lênin,Cấu trúc dữ liệu và giải thuật (2+1*),Cơ sở thẩm mỹ (2+1*),Giáo dục thể chất 3,Mạng máy tính (2+1*),Thiết kế đồ họa cơ bản (2+1*),Thiết kế UI/UX (2+1*),Thiết kế web cơ bản (2+1*),Tiếng Anh tăng cường,Đồ án 1,Đồ họa vector (2+1*),Hình họa (2+1*),Thiết kế bản vẽ kỹ thuật (2+1*),Thiết kế dàn trang (2+1*),Tiếng Anh 1,Vật lý kỹ thuật,Biên tập video (2+1*),Bố cục xa và gần (2+1*),Chủ nghĩa xã hội khoa học,Đồ án 2,Lịch sử Đảng Cộng Sản Việt Nam,Nghệ thuật đồ hoạ chữ (1+1*),Thiết kế hình động,Tiếng Anh 2,Tiếng Anh cho CNTT 1,Xác suất thống kê,Đồ án 3,Giải tích số,Tâm lý học kỹ thuật,Thiết kế nhân vật,Tiếng Anh 3,Tiếng anh cho CNTT 2,Trang trí (2+1*),Tư tưởng Hồ Chí Minh,Đại cương về kinh tế và môi trường,Đồ án 4,Thiết kế đồ họa nâng cao (2+1*),Thiết kế nhận diện thương hiệu (2+1*)
Số tín chỉ,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0
10122013,7.3,7.8,8.0,6.4,5.5,5.7,6.5,7.0,7.0,7.5,8.3,7.0,5.8,5.3,6.5,7.0,6.4,7.4,6.9,5.8,7.0,7.3,7.3,6.3,8.1,6.0,7.4,7.3,7.6,6.5,5.8,7.3,6.3,7.2,6.1,7.4,6.0,6.0,6.3,7.2,7.0,6.5,7.1,5.0,5.3,6.9,7.7,7.9,5.9,7.4
10122051,8.2,9.1,9.0,6.9,6.5,7.7,6.1,8.4,6.0,8.8,8.9,7.5,6.9,7.2,8.5,9.0,5.8,8.0,7.8,7.3,7.5,8.3,7.8,7.7,9.3,7.5,8.0,8.5,8.0,8.5,7.5,8.3,8.0,9.1,7.6,7.7,7.3,9.7,7.9,10.0,9.2,7.3,8.2,6.7,8.4,8.1,8.7,8.4,8.2,9.0
10122075,8.0,7.6,7.0,7.1,7.2,7.9,6.1,6.5,6.0,6.8,8.7,7.0,6.3,5.7,6.8,7.0,6.6,8.0,7.5,6.3,6.5,7.0,7.0,7.6,8.5,6.3,7.3,7.1,7.7,6.9,7.7,8.3,7.3,8.9,7.4,7.0,6.5,7.2,8.5,6.2,8.5,6.5,7.5,6.5,7.5,7.7,9.0,8.0,7.8,8.3
10122082,8.2,6.2,9.0,6.7,7.5,6.9,7.9,7.6,7.0,8.0,8.6,8.4,8.1,7.9,7.8,9.0,7.2,8.3,7.5,8.8,6.5,8.0,8.0,7.3,8.5,7.8,8.1,6.7,8.2,8.1,6.4,7.5,8.3,8.6,7.4,8.8,8.3,8.0,8.3,6.7,8.9,7.8,8.3,8.0,7.8,8.5,8.8,8.7,8.8,9.3
10122106,8.5,7.7,6.0,6.6,6.7,6.8,8.2,7.9,7.0,9.0,8.4,6.9,6.7,5.5,8.5,6.0,6.9,7.8,8.3,6.8,6.5,7.0,6.3,8.4,6.5,8.5,7.0,8.3,7.8,8.1,7.1,7.5,7.8,8.5,7.3,7.7,7.5,6.9,7.5,7.0,8.4,7.2,7.4,5.5,8.0,7.1,8.9,7.7,7.4,8.6
10122108,6.0,7.3,9.0,8.2,7.2,7.5,5.8,8.3,7.0,7.8,8.3,7.7,8.2,6.7,7.8,8.0,7.1,6.3,7.3,6.5,6.5,7.3,6.5,7.3,6.0,7.0,7.0,6.3,6.2,8.2,6.2,7.8,6.8,7.1,6.4,6.6,7.3,8.5,7.0,6.9,8.8,6.5,8.1,5.5,7.8,7.6,7.5,8.0,6.7,8.4
10122112,8.5,8.9,9.0,7.0,6.8,9.2,7.8,8.9,6.0,7.8,8.7,7.8,8.2,7.6,7.3,9.0,6.9,8.0,7.8,8.0,6.5,8.3,7.3,7.8,6.8,7.8,7.3,7.4,8.1,7.6,7.0,8.3,7.7,8.3,7.8,8.4,8.5,8.3,7.8,6.4,8.4,6.5,8.2,7.5,8.0,7.1,9.2,8.1,8.4,8.2
10122132,7.7,6.3,7.0,7.7,6.9,7.2,5.3,8.4,7.0,7.3,9.0,8.0,7.5,5.6,9.3,9.0,6.9,7.3,7.5,8.2,7.5,8.0,7.5,8.4,9.3,7.5,8.1,7.6,7.5,8.3,6.2,7.5,7.9,8.9,7.3,7.6,7.0,9.8,7.7,9.2,8.7,7.0,7.4,6.5,8.5,8.2,8.7,6.4,7.5,8.5
10122133,7.7,6.0,8.0,6.5,6.5,7.4,8.3,8.7,9.0,8.0,8.0,7.8,8.3,7.4,8.0,9.0,6.0,7.0,7.3,8.3,6.5,7.5,8.5,7.5,5.8,8.3,6.9,8.7,7.9,8.0,7.5,7.3,8.2,8.6,6.8,7.8,7.0,8.8,8.4,8.7,9.3,7.5,7.6,6.5,8.0,8.5,8.8,8.3,8.0,8.7
10122136,7.8,7.2,7.0,7.2,5.9,5.7,1.0,0.3,8.0,6.3,8.4,6.5,6.1,5.4,0.0,7.0,6.1,5.5,6.8,6.3,6.5,5.0,7.5,7.1,5.0,6.5,8.7,6.6,7.8,7.7,6.1,6.5,7.4,7.9,3.8,8.3,9.0,3.7,8.2,6.3,6.8,5.5,8.7,8.3,5.3,7.4,8.3,2.5,6.3,7.4
10122143,7.5,7.7,8.0,8.0,7.2,6.3,6.3,7.3,8.0,8.5,8.8,6.8,7.0,5.9,8.0,6.0,6.5,7.5,5.5,6.0,7.0,6.8,8.3,7.0,7.0,6.5,6.6,7.0,7.3,7.5,5.7,6.5,6.1,8.1,7.0,7.7,6.5,6.2,7.7,7.2,7.0,6.7,7.1,5.5,6.3,6.9,7.9,5.7,6.7,7.8
10122203,6.7,8.4,8.0,8.3,8.3,7.9,9.5,8.8,7.0,9.0,8.5,8.8,8.6,7.7,7.3,9.0,7.7,7.0,8.3,8.3,6.5,7.9,7.8,7.3,6.8,6.8,6.9,7.2,7.9,7.7,7.0,7.3,7.7,8.3,6.9,8.4,7.5,8.8,7.4,9.9,9.4,6.5,7.8,7.0,7.5,8.4,8.3,8.4,7.2,8.4
10122220,7.5,8.8,7.0,7.0,7.3,6.9,6.3,7.4,4.0,9.3,8.4,6.8,6.9,5.3,6.0,8.0,6.6,6.8,6.8,7.8,7.0,6.8,6.8,8.4,7.3,6.5,8.1,9.1,7.2,8.6,5.6,8.0,6.8,8.5,5.9,7.9,5.8,6.2,7.2,6.7,8.3,6.8,7.4,5.8,6.8,7.7,7.9,7.4,7.0,8.6
10122231,8.4,7.2,9.0,7.7,7.5,6.4,6.8,7.9,6.0,8.8,8.5,7.8,5.9,7.0,7.3,6.0,7.5,7.5,6.3,6.8,8.0,7.7,7.3,7.2,8.5,7.5,7.9,7.3,8.0,7.0,5.8,8.2,6.7,8.3,7.2,8.3,7.0,7.3,7.4,7.4,9.1,7.0,8.6,7.3,7.9,7.8,8.0,8.2,7.2,8.5
10122236,7.5,6.5,9.0,6.8,6.5,6.7,5.0,7.5,6.0,6.0,8.0,7.3,5.6,5.4,5.8,6.0,6.4,7.5,5.5,7.0,6.5,5.4,6.5,6.3,7.5,7.0,5.7,8.1,6.9,6.5,5.3,7.9,5.8,7.5,6.1,7.4,6.5,6.5,7.3,4.8,7.5,6.4,5.9,5.0,6.5,7.3,7.3,7.0,5.7,7.8
10122255,6.5,5.8,8.0,6.8,6.8,7.2,6.8,7.2,6.0,6.8,8.2,6.8,6.8,6.5,5.5,6.0,5.4,7.0,8.0,5.0,7.0,6.9,6.3,6.4,7.0,6.8,7.4,8.7,7.1,7.7,6.6,7.7,7.1,7.9,7.2,8.3,7.0,8.3,6.4,2.9,8.2,6.0,8.0,6.3,5.3,7.7,8.9,7.5,5.8,7.5
10122257,7.5,7.3,8.0,8.4,5.9,6.5,6.9,7.0,5.0,7.3,8.3,7.8,7.0,6.3,5.5,7.0,5.7,6.5,6.3,5.0,8.5,7.9,6.0,7.0,8.0,6.5,6.3,8.3,7.0,6.5,6.2,7.7,6.5,7.7,6.5,7.3,6.5,8.7,7.4,4.9,7.5,7.2,8.1,6.3,7.0,8.0,8.6,6.4,6.5,7.7
10122275,7.3,6.8,9.0,6.9,6.4,7.7,9.0,7.3,7.0,6.8,8.2,7.4,6.0,6.0,6.3,6.0,5.9,6.5,6.8,8.3,6.5,7.7,6.8,6.0,5.5,7.3,7.3,6.8,7.3,7.0,6.7,8.4,7.1,7.9,7.0,7.4,7.0,7.9,7.1,6.7,7.9,7.4,7.3,6.0,7.2,7.1,8.6,8.1,6.9,8.3
10122425,8.7,8.6,8.0,8.8,5.7,7.6,7.4,5.8,8.0,7.5,8.5,7.0,8.5,7.1,7.8,8.0,6.0,7.5,6.3,8.2,7.0,6.3,7.8,8.8,7.8,7.8,5.2,6.2,8.0,8.3,5.9,8.2,7.9,8.4,7.6,8.2,7.0,8.9,8.5,9.0,8.5,7.0,8.4,7.3,8.0,8.3,8.7,8.2,7.9,8.5
10122309,7.3,7.5,8.0,6.4,6.9,6.9,7.3,7.7,9.0,6.0,8.4,8.5,7.1,6.8,6.0,6.0,7.1,7.0,7.5,6.8,6.5,7.4,6.5,7.9,7.0,7.5,4.9,7.1,7.1,7.4,7.6,7.9,7.6,8.0,6.7,7.0,6.0,8.5,7.8,7.4,8.0,7.0,7.6,6.5,5.5,8.3,8.5,6.7,8.2,8.4
10122318,7.2,7.5,8.0,6.6,7.0,5.7,7.9,6.3,6.0,6.0,8.4,7.1,6.1,6.2,6.3,7.0,7.2,7.7,5.8,5.8,7.0,8.0,8.5,6.0,8.3,6.0,7.1,6.1,6.9,7.8,6.5,8.5,7.1,6.8,7.6,7.4,6.0,7.2,7.9,6.9,8.6,7.5,7.3,6.0,5.3,8.3,8.4,7.9,6.5,8.4
10122320,6.8,8.9,7.0,6.4,5.2,6.7,1.5,6.3,7.0,6.3,8.2,6.9,5.9,7.9,5.3,6.0,7.1,5.5,5.0,5.5,4.5,6.8,7.0,6.3,7.8,6.3,7.5,7.8,6.7,6.9,5.8,7.7,6.5,8.0,6.9,6.4,6.8,8.4,7.4,2.2,8.3,6.7,7.4,5.3,5.5,7.7,7.3,7.3,5.9,7.6
