MÔN HỌC,111125- Đại số tuyến tính,211100- Định hướng nghề nghiệp,921204- Giáo dục quốc phòng và an ninh,"921113- Giáo dục thể chất 1_x000D_
",221104- Kiến trúc máy tính,"211132_x000D_
- Lập trình Python cơ bản (2+1*)",911602- Pháp luật đại cương,211131- Cấu trúc dữ liệu và giải thuật (2+1*),211002- Cơ sở kỹ thuật lập trình (2+1*),111126- Giải tích,921114- Giáo dục thể chất 2,221190- Hệ điều hành (2+1*),711170- Kỹ năng mềm,911102- Triết học Mác - Lênin,231027- Cơ sở dữ liệu,111209- Giải tích số,921115- Giáo dục thể chất 3,911203- Kinh tế chính trị Mác - Lênin,211460- Lập trình hướng đối tượng (2+1*),231028- Lập trình ứng dụng Windows Form (2+1*),231005- Mạng máy tính (2+1*),711136- Tâm lý học kỹ sư,"151100_x000D_
- Tiếng Anh tăng cường_x000D_
",911302- Chủ nghĩa xã hội khoa học,211205- Công nghệ phần mềm (2+1*),231001- Đồ án 1,211156- Hệ quản trị cơ sở dữ liệu (2+1*),215705- Lập trình Python nâng cao (2+1*),151139- Tiếng Anh 1,211011- Toán rời rạc,121249- Vật lý kỹ thuật,231002- Đồ án 2,221161- Học máy cơ bản (2+1*),221177- Nhập môn khai phá dữ liệu (2+1*),221129- Thiết kế web cơ bản (2+1*),151140- Tiếng Anh 2,215685- Tiếng Anh cho CNTT 1,215667- Trí tuệ nhân tạo (2+1*),911504- Tư tưởng Hồ Chí Minh,111010- Xác suất thống kê,211126- Công nghệ Web và ứng dụng (2+1*),231025- Đồ án 3,231041- Hệ gợi ý (2+1*),911409- Lịch sử Đảng Cộng Sản Việt Nam,211260- Nhập môn Khoa học dữ liệu (2+1*),221134- Phân tích thiết kế thuật toán,151141- Tiếng Anh 3,215687- Tiếng anh cho CNTT 2,211263- Xử lý dữ liệu lớn (2+1*),231004- Đồ án 4,211259- Học sâu (2+1*),231008- Khai phá dữ liệu lớn (2+1*),211125- Phát triển phần mềm hướng dịch vụ (2+1*),290049- Seminar,231007- Thực tập doanh nghiệp,231129- Tiếng anh cho CNTT 3,231183- Đồ án/Khóa luận tốt nghiệp
SỐ TÍN CHỈ,2,2,5,1,3,3,2,3,3,3,1,3,2,3,3,2,1,2,3,3,3,2,4,2,3,3,3,3,2,3,4,3,3,3,3,3,2,3,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,2,10,2,12
10121747,9.8,9,7.5,9,8.3,9.3,8.5,7.3,7.3,8.1,7,7.8,8.7,8.5,7.9,8.8,9,8.9,7.9,8.3,6.8,8.8,4.5,7.8,8.8,8.5,8.6,8.5,7.4,8.4,6,8.6,8.9,8.3,8,9.6,8.5,8.6,9,9.3,7.5,8.6,8.6,9,8.3,7.4,7,8.5,8.5,8.4,8.5,8.8,7,8.5,9,8,8.9
12421027,8.4,8.3,7,7,8.8,9.2,9.3,7.8,7,7.8,6,8,8.5,7.5,7.9,9.5,8,8.9,8.3,8.3,8,8.9,7.5,8.7,7.8,8.6,8.4,8.5,7.7,6.9,5.3,7.7,7.9,8.5,8.5,8.9,8.8,8,8,7.4,5.8,7.9,7.9,8.2,8.3,6.9,8.4,8,8.2,7.3,7,8,5.5,5.5,8.3,8.5,8.8
12421037,8.2,8.5,7,8,8,9,8.5,7.8,6.7,9.7,6,8.3,8.5,6.9,8.2,9.9,6,8.2,7.5,7.5,6.1,8.9,5.5,6.9,8.3,8.6,8.2,8,6.8,7.9,7,8.2,8.3,8.3,7.5,9.5,7.5,8.4,7.5,8.8,2.5,8.2,8.2,8.6,7.5,7.8,8,7.8,8.3,7.5,6,9,5.8,7,8.4,7.5,7.8
10121758,8.7,8.5,7.5,8,8.5,9,9,8,7.9,9.2,9,8.8,8.5,7.4,8.4,9.8,7,8.8,8.2,9.3,7.6,8.8,6,7.9,7.8,8,9.1,8.8,6.7,8.4,7,9.3,9.2,8.5,9.3,8.8,7.8,8.5,8,9.4,8,9.5,9.2,8.5,8.5,7.2,7.7,8.8,8.5,8.8,8.5,9,8,7,9.6,8,9.3
12421034,8.8,8.8,7.8,10,9.3,10,8.5,7.5,7.5,9.3,7,7,8.9,7.7,8,9.2,9,8.2,6,8,7.5,9,5.5,7.2,7.8,8,8.3,8.5,7.9,8.9,7.3,8.1,8.6,8.3,8.3,9.6,6.5,8.4,9,8.7,7,8,7.8,8.8,7,6.3,8,8.3,7.7,8.7,7.5,8,5.8,8.5,9.4,8,9.1
10121793,8.7,8.3,8,9,9.3,9,9,8.6,7.4,8.8,8,8,8.6,7.2,8.6,9.5,7,8.9,7.7,8,7.8,9.3,7,7.9,9,8.8,8.2,9,8.1,7.1,7.5,8.2,8.5,8.8,8.3,9.2,8.5,8.4,8.3,8.8,6,9.2,8.4,8.4,9.3,6.9,7.6,8.3,9.3,8.7,8,9,6,7.8,9,7.3,8.6
10121795,9.4,8.5,7.3,10,8.5,8.8,8,8.2,7.5,8.2,9,8.3,8.4,8.5,8.4,9.8,7,8.7,7.4,8,7.7,9.3,5.5,7.8,9,9,8.7,9,8.4,8.6,7.8,9.4,9.3,8.8,8.3,8.9,8.8,9,9,9.4,6,9.2,8.7,8.8,9.3,7.5,8.1,8.5,8.3,9.5,9.3,9,5.8,9,9.6,9.3,9.2
12421031,8.2,8.5,6,8,8.8,8.8,8.8,7.8,7.9,8.4,7,7.5,8.7,7,7.4,9.4,7,8.3,8,8,7.8,8.8,2.5,6.9,6.8,8.9,7.7,7.8,7.4,5.8,7,8.9,8,8,8.3,8.6,8.5,7.7,7.8,6.2,7,8.2,9.1,8.3,7.8,8.4,7.1,7.5,8.3,8.7,5.8,9,5.8,7,8.3,8.3,9.1
10121437,8.2,8.5,6.3,8,8.8,8.5,9,7.5,8.2,8.8,8,8,8.6,7.8,7.8,9.5,8,8.3,8.9,8,8.4,8.9,6,7.2,7.5,7.5,8.7,8.5,8.2,8.4,6.5,8.3,9,7.8,8,9.4,7.5,8.9,7.9,9.1,6,8.5,8.2,7.9,7.8,7.5,8.2,6.5,8.3,7.4,6.3,8,0,8.5,8.9,6.8,8
