Mã SV,Công dân số (2+1*),Đại số tuyến tính,Giáo dục thể chất 1,Hóa học đại cương (1.5+0.5*),Lập trình Python cơ bản (2+1*),Cơ sở dữ liệu,Cơ sở kỹ thuật lập trình (2+1*),Giải tích,Giáo dục thể chất 2,Kiến trúc máy tính,Kỹ năng mềm,Pháp luật đại cương,Lênin,Cấu trúc dữ liệu và giải thuật (2+1*),Đại cương về kinh tế và môi trường,Giáo dục thể chất 3,Hệ điều hành (2+1*),Hệ quản trị cơ sở dữ liệu (2+1*),Lập trình hướng đối tượng (2+1*),Lập trình ứng dụng Windows Form (2+1*),Tiếng Anh tăng cường,Chủ nghĩa xã hội khoa học,Công nghệ phần mềm (2+1*),Đồ án 1,Lập trình Python nâng cao (2+1*),Thiết kế web cơ bản (2+1*),Tiếng Anh 1,Toán rời rạc,Xác suất thống kê,Học máy cơ bản,Nhập môn khai phá dữ liệu (2+1*),Phân tích thiết kế thuật toán,Tiếng Anh 2,Trí tuệ nhân tạo,Tư tưởng Hồ Chí Minh,Vật lý kỹ thuật,Công nghệ Web và ứng dụng (2+1*),Đồ án 2,Giải tích số,Lịch sử Đảng Cộng Sản Việt Nam,Mạng máy tính (2+1*),Nhập môn Khoa học dữ liệu,Tiếng Anh 3,Tiếng Anh cho CNTT 1,Học sâu (2+1*),Tâm lý học kỹ thuật,Thị giác máy tính và ứng dụng (2+1*),Tiếng anh cho CNTT 2,Seminar,Phát triển phần mềm hướng dịch vụ (2+1*)
Số tín chỉ,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0
12422001,8.7,8.9,9.0,8.0,8.8,8.4,9.0,9.7,9.0,8.0,9.0,7.7,8.1,7.4,8.9,9.0,9.5,9.1,8.5,9.3,7.5,7.3,9.3,9.5,9.3,8.8,8.7,8.6,9.7,8.5,9.8,8.4,7.5,9.0,8.3,8.4,9.0,9.0,8.9,7.6,8.8,9.2,7.7,7.5,9.0,8.9,9.1,9.0,,
10122063,7.7,7.8,10.0,6.4,8.2,8.2,8.8,9.3,7.0,8.0,8.4,7.5,7.4,8.1,8.0,7.0,8.0,7.2,8.3,8.3,8.0,6.6,8.5,7.2,6.3,7.5,8.1,7.0,6.4,7.5,8.5,6.7,8.6,8.5,6.5,7.6,7.9,8.2,7.7,6.8,8.5,7.8,7.8,8.5,8.2,8.5,6.9,7.8,,
10122069,8.3,9.1,7.0,7.5,8.7,8.2,8.8,9.8,7.0,9.3,9.0,7.2,9.0,9.0,8.8,7.0,9.3,9.3,9.0,8.8,8.5,7.7,9.3,9.5,9.0,9.0,9.3,9.5,9.9,9.0,9.8,9.0,8.9,9.3,9.1,9.6,8.6,9.2,8.7,8.4,9.8,9.4,8.0,9.0,9.4,9.2,9.4,9.3,,
10122071,6.9,7.2,9.0,6.4,7.8,6.5,6.5,9.5,6.0,7.5,8.4,5.5,6.2,7.0,6.9,9.0,6.7,5.7,6.7,7.5,8.0,6.3,7.8,5.3,7.5,6.2,7.6,5.5,7.2,6.0,7.0,5.8,7.8,6.0,8.2,6.9,6.9,7.3,8.0,6.3,8.2,6.0,7.1,7.3,5.5,8.3,7.9,7.3,,
12422004,8.2,7.5,9.0,7.7,7.9,8.5,8.5,9.0,9.0,8.3,9.0,8.3,8.2,8.8,8.8,9.0,9.0,8.8,9.2,8.0,8.5,7.3,9.3,9.3,9.3,8.7,8.6,8.2,9.2,9.0,9.8,9.5,8.5,9.3,9.1,9.1,8.6,9.0,8.3,9.1,9.4,9.0,7.7,9.3,7.7,9.3,8.4,9.0,,
10122125,8.2,7.3,6.0,7.2,7.3,6.6,6.0,8.8,6.0,7.8,9.0,6.7,7.9,6.9,7.5,6.0,7.9,6.6,8.6,7.5,7.0,6.6,8.0,7.7,6.5,7.4,7.7,6.5,7.8,6.0,8.5,6.8,8.0,8.5,7.9,6.2,8.4,7.4,8.4,7.8,8.4,7.5,7.2,7.0,7.6,8.6,7.1,6.3,,
12422006,7.7,7.9,9.0,7.2,8.8,7.1,8.0,9.7,8.0,8.3,9.0,8.0,7.2,8.1,8.2,8.0,8.2,6.9,7.7,8.0,7.0,7.2,9.0,8.2,9.0,7.9,8.2,8.4,7.3,8.5,8.3,8.2,8.4,9.3,8.5,9.5,8.9,7.9,7.0,7.8,8.9,9.3,7.5,8.3,8.0,8.9,8.3,7.5,,
12422008,7.2,5.9,4.0,7.2,7.3,6.6,6.0,7.8,7.0,6.0,9.0,5.5,6.1,5.8,7.3,8.0,6.9,2.0,7.0,6.3,8.5,6.5,8.5,5.3,7.5,6.7,7.7,3.8,6.9,5.5,7.8,5.8,8.3,7.0,9.1,6.6,7.1,7.8,7.3,7.3,8.1,7.5,7.8,9.0,7.3,8.5,7.3,7.8,,
10122151,6.7,6.5,7.0,7.2,8.2,7.5,6.5,6.9,7.0,7.3,8.5,7.2,7.7,8.7,7.0,9.0,7.6,6.4,7.7,8.4,7.0,5.5,8.0,6.8,7.3,6.6,9.3,5.5,8.4,6.0,7.3,7.9,9.0,6.0,8.6,6.9,7.3,7.8,8.7,7.6,8.8,7.4,7.9,9.0,8.3,8.3,7.9,8.8,,
12421038,8.7,8.7,8.0,8.2,8.7,7.8,8.6,9.8,0.0,9.3,8.2,9.3,7.6,8.5,8.2,7.0,7.9,6.8,7.7,8.5,8.0,6.3,7.3,8.7,8.0,8.1,8.7,7.5,8.2,8.0,8.5,7.5,8.3,8.3,8.8,6.5,7.1,7.8,9.3,7.8,8.9,7.5,7.3,7.8,8.8,9.1,8.0,8.0,,
10122167,7.2,7.7,8.0,6.3,7.3,6.5,6.8,7.5,7.0,7.8,8.8,6.3,6.3,6.7,7.9,8.0,8.4,6.2,8.0,7.8,8.0,7.7,7.8,8.0,8.3,7.9,7.7,7.3,6.5,8.0,7.3,6.4,7.3,6.0,8.1,8.2,7.3,7.8,7.4,7.5,8.5,8.7,7.2,8.5,8.2,8.3,8.0,8.3,,
10122185,7.5,7.9,5.0,7.2,7.9,6.9,6.3,7.3,6.0,8.0,8.8,6.8,7.9,8.9,7.1,8.0,9.0,7.0,8.4,6.8,7.5,6.8,7.8,8.8,8.3,7.4,8.3,7.9,7.8,8.3,9.0,7.2,8.2,8.5,8.7,7.4,7.9,7.8,9.0,7.1,8.9,8.3,8.0,8.8,8.7,8.7,8.4,8.5,,
