Mã SV,Công dân số (2+1*),Đại số tuyến tính,Giáo dục thể chất 1,Hóa học đại cương (1.5+0.5*),Kỹ năng mềm,Lập trình Python cơ bản (2+1*),Lênin,Cơ sở dữ liệu,Cơ sở kỹ thuật lập trình (2+1*),Giải tích,Giáo dục thể chất 2,Kiến trúc máy tính,Pháp luật đại cương,Cấu trúc dữ liệu và giải thuật (2+1*),Đại cương về kinh tế và môi trường,Giáo dục thể chất 3,Hệ điều hành,Hệ quản trị cơ sở dữ liệu (2+1*),Lập trình hướng đối tượng (2+1*),Lập trình ứng dụng Windows Form (2+1*),Tiếng Anh tăng cường,Chủ nghĩa xã hội khoa học,Công nghệ phần mềm,Đồ án 1,Lập trình Python nâng cao (2+1*),Thiết kế web cơ bản (2+1*),Tiếng Anh 1,Toán rời rạc,Vật lý kỹ thuật
Số tín chỉ,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0
10123203,6.8,6.5,7.0,7.1,7.9,5.5,1.3,0.0,1.5,3.4,0.0,3.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
12523038,6.2,7.4,5.0,1.5,7.9,6.8,6.4,0.0,0.0,2.0,6.0,3.0,5.7,0.3,6.8,7.0,0.0,0.8,3.3,3.5,0.0,4.9,0.0,0.0,6.0,0.0,0.0,0.8,0.5
12523053,6.5,5.4,7.0,6.0,9.1,5.6,6.3,5.2,7.3,0.8,9.0,3.5,5.3,7.2,,6.0,1.0,1.3,6.3,0.0,0.0,0.0,0.0,,6.4,0.0,0.0,0.0,0.0
10123311,6.7,6.9,6.0,7.2,8.6,4.7,,,3.4,,,,,5.0,6.6,6.0,8.0,6.1,5.2,3.0,1.5,0.0,0.0,,3.4,0.0,0.0,0.0,0.0
12423006,6.9,7.7,6.0,6.1,8.1,5.9,7.4,5.3,5.4,6.7,6.0,6.8,5.3,6.6,8.4,5.0,6.0,6.1,8.8,2.8,7.0,0.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0
12522045,9.0,8.3,9.0,9.0,8.0,7.8,0.0,1.0,7.2,3.5,8.0,5.5,7.3,7.4,6.7,0.0,0.0,0.4,8.6,7.6,0.0,0.0,0.0,,0.0,7.6,0.0,7.4,0.0
10123304,8.3,8.0,7.0,6.7,8.2,7.8,7.1,6.2,7.7,8.1,9.0,1.0,7.0,6.5,6.6,7.0,5.8,7.6,5.5,6.5,5.5,5.7,1.8,1.3,0.0,3.3,1.5,3.5,0.6
10123081,8.0,9.2,8.0,7.8,8.5,6.7,,,7.3,,,,,5.4,4.1,8.0,4.3,6.1,6.7,6.8,0.0,0.0,0.0,,3.9,0.0,0.0,0.0,0.0
10123187,6.7,7.7,7.0,7.5,8.8,6.8,4.7,7.0,8.0,6.2,7.0,7.5,5.3,8.4,,7.0,6.8,7.0,8.4,3.0,7.5,0.0,0.0,,7.4,0.0,0.0,0.0,0.0
10123133,6.0,6.3,0.0,8.2,7.8,5.8,,,6.9,,,,,5.0,4.2,5.0,5.0,6.4,5.6,6.8,0.0,0.0,0.0,,6.8,0.0,0.0,0.0,0.0
12423034,7.2,5.2,3.0,5.9,8.0,6.7,6.7,5.0,6.4,7.4,2.0,6.0,6.0,6.2,7.1,5.0,6.3,7.3,6.6,4.8,5.5,5.8,4.2,2.8,5.9,7.1,6.1,5.3,6.7
10123124,8.0,7.9,6.0,8.8,7.4,6.4,8.1,7.2,7.3,7.9,6.0,6.5,5.0,7.0,,5.0,1.5,6.0,3.4,0.0,0.0,,0.0,,,0.0,0.0,,
12423032,6.9,5.0,6.0,5.6,8.5,7.3,6.1,6.0,7.8,7.9,7.0,8.0,7.5,6.3,7.9,7.0,6.0,7.0,6.6,3.8,7.5,5.7,0.0,6.3,6.5,7.6,7.2,7.2,8.0
12423060,6.5,5.4,6.0,6.7,8.1,7.3,6.8,5.0,7.6,5.4,8.0,8.0,4.8,6.6,7.3,6.0,7.5,7.3,6.1,6.0,6.5,6.6,6.8,6.7,7.0,6.7,6.5,5.1,2.9
12423025,6.0,5.7,7.0,5.9,8.4,5.3,7.3,6.4,6.8,4.2,8.0,6.3,6.8,6.1,7.1,8.0,7.5,6.9,7.8,6.5,7.5,6.8,1.5,6.5,7.2,7.7,7.0,6.2,1.1
10123219,6.9,9.2,10.0,8.0,8.7,6.9,7.0,7.9,7.3,8.9,7.0,8.3,8.3,7.9,,8.0,8.3,7.0,7.8,6.5,8.0,0.0,0.0,,8.3,0.0,0.0,0.0,0.0
