MÔN HỌC,111125- Đại số tuyến tính,211100- Định hướng nghề nghiệp,921204- Giáo dục quốc phòng và an ninh,"921113- Giáo dục thể chất 1_x000D_
",221104- Kiến trúc máy tính,"211132_x000D_
- Lập trình Python cơ bản (2+1*)",911602- Pháp luật đại cương,211131- Cấu trúc dữ liệu và giải thuật (2+1*),211002- Cơ sở kỹ thuật lập trình (2+1*),111126- Giải tích,921114- Giáo dục thể chất 2,221190- Hệ điều hành (2+1*),711170- Kỹ năng mềm,231005- Mạng máy tính (2+1*),911102- Triết học Mác - Lênin,231027- Cơ sở dữ liệu,111209- Giải tích số,921115- Giáo dục thể chất 3,911203- Kinh tế chính trị Mác - Lênin,211460- Lập trình hướng đối tượng (2+1*),231028- Lập trình ứng dụng Windows Form (2+1*),221134- Phân tích thiết kế thuật toán,711136- Tâm lý học kỹ sư,"151100_x000D_
- Tiếng Anh tăng cường_x000D_
",211205- Công nghệ phần mềm (2+1*),221052- Đồ án 1,211156- Hệ quản trị cơ sở dữ liệu (2+1*),211140- Kiểm thử phần mềm (2+1*),221129- Thiết kế web cơ bản (2+1*),151139- Tiếng Anh 1,211011- Toán rời rạc,111010- Xác suất thống kê,211231- Đồ án 2,211124- Lập trình Mobile cơ bản (2+1*),211034- Phân tích thiết kế hướng đối tượng với UML(2+1*),211125- Phát triển phần mềm hướng dịch vụ (2+1*),151140- Tiếng Anh 2,911504- Tư tưởng Hồ Chí Minh,121249- Vật lý kỹ thuật,211215- An toàn thông tin (2+1*),911302- Chủ nghĩa xã hội khoa học,211126- Công nghệ Web và ứng dụng (2+1*),211123- Đồ án 3,211146- Lập trình Web mã nguồn mở (2+1*),911409- Lịch sử Đảng Cộng Sản Việt Nam,151141- Tiếng Anh 3,215685- Tiếng Anh cho CNTT 1,211148- Đồ án 4,211169- Phân tích nghiệp vụ phần mềm,221125- Thiết kế đồ họa cơ bản (2+1*),231007- Thực tập doanh nghiệp,215687- Tiếng anh cho CNTT 2,211897- Trí tuệ nhân tạo,221182- AI tạo sinh và ứng dụng,231006- Đồ án 5,211803- Đồ án/Khoá luận tốt nghiệp,211152- Thiết kế UI/UX cho ứng dụng web và thiết bị di động (2+1*),211145- Thiết kế và quản trị Web mã nguồn mở (2+1*),231129- Tiếng anh cho CNTT 3
SỐ TÍN CHỈ,2,2,5,1,3,3,2,3,3,3,1,3,2,3,3,3,2,1,2,3,3,2,2,4,3,3,3,3,3,2,3,2,3,3,3,3,3,2,4,3,2,3,3,3,2,2,2,3,3,3,10,2,3,3,3,12,3,3,2
12521097,8.5,8.5,7.4,9,9.5,8.8,8.3,9.4,9.1,9.5,7,9.3,8.8,6.9,7.3,8.7,9.9,7,7.8,9.8,9.5,7.5,9.5,6.5,8.8,9,9.3,8.4,9.5,8.5,10,9.7,9.5,8.5,9,9.3,8,8.9,7.7,8,8.4,9.5,9.6,9,8.7,8.1,8.8,9,8.8,8.7,10,9.5,9,,,9.1,,,9.5
12521054,8.8,8.5,8.4,10,7.5,7.2,9,7.9,8,9,9,8.8,8.9,7.8,8,8,9.3,8,7.8,9.2,8,6.8,9.4,5.5,8.5,8.7,8.6,7.6,8.5,7.7,9.2,9.6,8.3,8,8.5,6.8,9,8.8,8.4,8.3,7.2,7,8.4,8.3,9.2,7.8,8.8,8.3,7.8,8.6,9.5,8.5,8.3,,,8.5,,,9.3
12521111,8.4,8,7.9,8,7.8,6.3,7,7.4,7.9,8.1,8,8,8.9,6.9,7.7,7.5,7.7,7,7.5,7.8,6.8,6.9,9.4,3.5,8.3,8.9,8.1,6.8,7,6.8,7.3,9,8.2,9,7.8,7.5,6.5,7.8,7,7,7.4,8.5,8.6,7.3,8,8.1,8.3,8.3,7,7.6,8.8,8,8.8,,,8.5,,,8
10121164,8.3,8.3,8,7,6.5,8.8,7.8,5.4,7.5,7.7,7,7,8.4,6.9,6.3,6,3.3,8,6.7,7.9,5,6,8.7,3,6.8,6.9,4.3,6.7,6.5,7.1,6.5,5.9,8.3,7,7.3,5.3,7.3,6.5,7.3,6,7.2,6,6.5,7.8,8.7,7.2,7,8.2,6,7,8.8,5.5,6.8,,,7.4,,,5.8
10121688,6.8,8,7.3,6,7,7.5,7.5,6.2,5.4,8.3,7,6.8,8.9,6.2,7.5,6.7,6.3,7,7.3,6.9,5,6.3,8.7,4,6.3,8,4.2,6.8,6,6.5,5.5,5.4,8.8,4,1.5,2.5,6.4,6.8,7.3,5.5,6.1,6,5.5,6.5,7.5,3.7,4,7.5,6.8,7.5,8.8,5.3,6.5,7.2,7.5,,7.3,7.4,5.5
12521124,5.9,8.3,7,8,6,9,7.8,6.4,5.9,7.7,8,7.5,8.5,6.3,7.3,7,4.6,9,7.3,6.9,4.5,6.7,9.1,3.5,7.5,5,6.4,5.6,6,7.1,5.8,6.6,8.3,6,0.5,2.5,6.9,7,7.6,5.5,6.2,6,7.7,6.8,7.1,7.4,8,7,6.5,7.1,8.9,6,6.8,,,7.4,,,5.8
12521041,7.2,8.5,8.5,7,8.3,9,8,7.2,7.2,9.3,8,7.8,8.6,7.2,7.4,6.4,9.5,8,7.3,8.7,5.3,6.5,8.9,4,8.5,8.7,7.4,7.1,6.3,6.6,6,9.5,8,8,6,2.5,7.6,6.6,6.2,7,7.1,8,7.8,7.3,7.8,7.9,7.8,8.1,6.5,8.7,9,7,7.3,,,7.7,,,6.3
10121516,8,8,8.5,7,7.5,7.7,8.8,5.9,6.4,6.7,7,7,8.7,7.2,6.8,5.7,4.4,6,6.3,7.9,4.5,5.3,8.8,2.5,6.5,2,2.6,6.6,2.8,6.5,5.5,5.7,0.3,2,1.8,2.5,7.2,5.9,7.6,5.5,6.7,2.5,6.6,6.5,7.8,6.8,7,8.1,7,6.6,9,5.8,6.5,,,7.4,,,5.3
10121366,7.8,8.5,8,9,6.3,7.5,6.5,6.7,6.7,6.9,6,7,9,7.7,7.3,6.4,6.5,8,6.5,7.4,4.5,7.5,8.7,3.5,8,7,5.9,6.9,7,7.6,5.4,6.3,6.8,7,7.3,2.5,7.8,7.4,6.8,5,8.1,2.5,6.8,7,7.8,7.4,7.8,7.8,6.3,7.7,9.1,6,7.3,,,7.3,,,6.5
10121256,7.3,8,8,8,5.8,7.8,6.5,7.5,8.3,7.7,8,7.5,8.7,7,7,7.7,7.9,7,7.4,9.2,5.5,6.2,9.2,3.5,7.3,8.8,7.9,7.5,8.5,7.6,7.2,8.2,8.2,9,7.8,8.5,7.1,9.1,6.4,7.5,8.4,9.3,9.2,8,9,8.1,7.8,8.8,7.5,8,9.7,7.8,8,,,8,,,6.8
10121846,8.5,8.3,8,6,8.3,7.5,7.8,6.8,6.3,9.1,9,9,9.3,8.2,7.3,7.2,7.4,8,6.9,8.7,5.5,5,9,0,8.8,8,7.5,8.2,8.8,8.8,7.8,8.2,8.5,7,8.3,6,8.6,7.7,7.6,6,7.1,7,7.8,8.3,8.2,8.9,9.3,8.3,8,7.7,9.9,9,8,,,9,,,9.3
