Mã SV,Công dân số (2+1*),Đại số tuyến tính,Giáo dục thể chất 1,Kỹ năng mềm,Lập trình Python cơ bản (2+1*),Pháp luật đại cương,Lênin,Cơ sở dữ liệu,Cơ sở kỹ thuật lập trình (2+1*),Giải tích,Giáo dục thể chất 2,Hóa học đại cương (1.5+0.5*),Kiến trúc máy tính,Cấu trúc dữ liệu và giải thuật (2+1*),Giải tích số,Giáo dục thể chất 3,Hệ điều hành,Hệ quản trị cơ sở dữ liệu (2+1*),Lập trình hướng đối tượng (2+1*),Lập trình ứng dụng Windows Form (2+1*),Tiếng Anh tăng cường,Công nghệ phần mềm,Đồ án 1,Kiểm thử phần mềm (2+1*),Mạng máy tính (2+1*),Thiết kế web cơ bản (2+1*),Tiếng Anh 1,Xác suất thống kê
Số tín chỉ,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
10122285,6.4,6.8,0.0,9.2,7.9,7.0,7.1,2.0,3.5,4.5,8.0,9.0,5.8,4.8,8.8,7.0,5.7,2.8,6.0,2.5,7.5,3.4,2.5,6.4,7.1,3.6,6.0,5.2
12523026,6.3,4.3,7.0,9.0,6.5,7.0,7.3,5.9,7.0,3.5,7.0,7.5,3.5,7.3,3.7,6.0,3.0,4.8,8.0,3.0,7.5,6.6,1.3,6.9,8.0,6.0,8.6,4.0
10123339,6.7,6.8,9.0,8.9,7.9,6.3,4.7,5.5,7.3,3.8,7.0,5.3,4.3,7.3,2.4,7.0,4.0,6.5,8.7,0.0,7.0,5.5,6.5,7.4,8.4,6.5,8.4,5.6
10123204,6.3,4.8,8.0,8.7,6.0,6.8,6.6,5.8,6.0,5.2,7.0,7.8,5.0,6.9,3.2,8.0,5.5,5.4,7.8,4.5,7.0,6.3,6.7,7.0,8.0,6.2,7.4,6.0
12523117,7.5,5.2,7.0,7.9,6.3,6.8,6.1,6.5,6.3,7.0,8.0,6.7,3.0,7.0,2.3,6.0,1.5,1.5,8.6,7.0,0.0,6.8,7.2,7.7,8.3,6.5,7.9,7.6
10123370,7.0,7.3,8.0,8.9,6.4,4.3,5.1,5.5,8.3,6.4,8.0,6.9,6.0,7.8,2.8,8.0,7.5,6.3,8.3,8.5,7.5,6.5,7.4,7.5,8.3,7.7,7.7,7.8
10123021,6.5,6.9,7.0,8.8,6.6,6.5,6.5,5.9,6.5,7.2,8.0,7.6,7.8,8.0,6.8,8.0,5.5,7.0,8.0,4.5,0.0,7.0,1.3,7.9,7.9,6.1,7.6,6.7
12523096,6.7,6.4,6.0,8.7,6.2,7.0,7.1,5.5,6.7,6.8,5.0,7.2,8.0,8.4,5.7,6.0,4.5,6.4,7.8,7.5,7.0,7.2,7.3,7.9,7.2,8.0,2.7,7.3
10122017,7.0,6.5,9.0,8.9,6.0,6.8,0.0,6.3,5.3,7.2,6.0,8.4,6.8,5.3,7.6,6.0,4.8,6.4,6.4,5.8,7.0,6.9,6.5,7.8,8.4,6.2,7.0,6.8
11223077,6.2,7.3,7.0,9.0,6.2,8.3,6.9,7.2,7.8,4.7,8.0,7.0,7.5,8.3,5.8,8.0,7.0,8.0,8.5,8.0,7.0,6.7,7.8,8.0,8.7,6.5,7.7,5.3
12523028,6.4,8.3,7.0,9.2,6.1,6.5,7.2,6.0,6.5,6.5,6.0,6.4,4.5,8.7,6.5,7.0,7.5,2.2,8.5,5.5,5.5,6.7,7.2,8.7,8.9,6.3,8.7,8.9
10123346,6.9,8.4,8.0,8.9,6.5,7.8,6.1,6.4,7.0,7.5,9.0,7.1,7.5,8.7,6.9,9.0,5.8,7.3,7.9,6.5,7.5,7.4,7.4,8.5,8.8,7.1,6.8,7.8
10123199,6.8,7.5,6.0,8.6,7.2,6.0,6.3,6.2,6.0,7.4,7.0,6.4,6.3,7.7,5.5,7.0,5.8,6.3,8.2,6.8,6.5,7.3,6.9,6.5,7.8,5.8,8.8,6.2
10123047,7.0,7.9,7.0,9.2,7.3,6.8,6.2,6.5,7.3,8.2,7.0,6.9,8.3,7.2,8.7,7.0,6.3,5.0,7.5,8.3,8.0,7.1,7.4,7.9,7.9,6.2,8.9,7.7
10123055,5.7,8.3,8.0,8.7,6.0,6.8,6.8,6.7,7.5,7.9,8.0,7.9,7.5,8.8,9.4,7.0,8.3,6.6,9.0,6.5,7.5,6.8,7.4,7.8,8.7,6.5,8.4,8.1
12523109,6.5,8.6,10.0,8.6,5.6,7.0,5.4,6.2,6.8,6.4,9.0,7.9,7.3,8.8,7.4,8.0,7.3,6.5,8.5,6.0,7.5,7.5,7.4,8.1,8.8,6.4,8.3,7.7
10123026,6.3,8.3,7.0,9.4,7.4,7.8,8.3,6.9,8.0,7.2,7.0,8.3,6.8,9.0,7.8,6.0,7.0,7.4,8.7,8.5,7.5,7.3,8.3,8.3,8.9,6.3,8.1,8.2
12523080,7.5,7.9,10.0,9.3,8.7,8.5,6.5,6.0,6.8,9.3,8.0,8.5,7.8,9.3,8.9,8.0,8.5,7.1,8.6,8.0,8.0,7.7,8.4,8.4,8.8,6.5,8.5,8.9
10123045,5.5,9.1,9.0,9.0,7.5,8.0,7.3,8.9,9.0,7.5,8.0,8.5,7.8,8.8,8.8,7.0,8.8,8.3,9.1,7.3,8.0,8.5,7.7,8.8,9.2,8.7,8.5,8.2
10123363,6.2,7.9,8.0,8.9,6.5,8.3,7.4,6.0,7.3,7.4,8.0,7.7,6.8,7.4,6.7,7.0,8.0,6.4,7.8,7.0,8.0,6.8,7.5,7.4,7.8,6.2,8.1,7.3
12523076,6.7,9.4,9.0,9.3,7.2,8.5,7.5,5.8,6.5,8.6,8.0,8.4,7.3,8.3,7.9,8.0,7.8,6.4,8.6,5.5,0.0,6.8,7.6,8.4,8.2,7.2,7.5,8.7
12523030,6.9,8.2,7.0,8.8,8.0,7.0,5.9,6.7,7.0,8.9,8.0,7.3,6.0,8.9,8.9,7.0,7.8,7.1,8.8,7.5,7.5,7.3,7.5,8.4,8.9,6.2,8.4,8.8
10123345,6.2,9.2,7.0,9.0,6.4,8.0,7.9,8.3,7.3,7.7,8.0,6.9,8.5,7.5,8.7,6.0,8.0,8.0,7.2,7.8,7.5,8.1,8.4,7.7,7.4,8.5,8.3,8.2
10123030,7.8,9.1,6.0,8.7,7.0,8.8,7.5,8.2,8.0,8.8,8.0,8.5,8.8,7.9,9.3,7.0,6.5,8.3,9.0,7.8,0.0,7.7,7.4,8.2,8.7,8.1,9.0,8.8
