Môn học,Đại số tuyến tính,Giải tích,Kiến trúc máy tính,Lập trình Python cơ bản (2+1*),Cấu trúc dữ liệu và giải thuật (2+1*),Cơ sở kỹ thuật lập trình (2+1*),Mạng máy tính (2+1*),Cơ sở thẩm mỹ (2+1*),Thiết kế đồ họa cơ bản (2+1*),Thiết kế web cơ bản (2+1*),Pháp luật đại cương,Kỹ năng mềm,Tiếng Anh tăng cường,Giáo dục thể chất 1,Giáo dục thể chất 2,Giáo dục thể chất 3
SỐ TÍN CHỈ,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1,1,1.0
10121739,8.7,8.4,8.3,8.8,9.2,7.9,7.9,7.0,9.0,10.0,6.5,8.3,6.0,9,9,7.0
10121036,7.4,6.7,5.5,7.7,6.4,6.6,7.5,8.0,7.0,5.5,6.3,8.6,2.5,7,6,8.0
10121045,7.0,5.2,7.5,6.5,5.8,5.6,6.3,6.3,6.8,3.5,7.3,8.2,5.0,8,8,9.0
10121569,4.0,3.8,5.5,7.8,4.5,4.4,6.9,4.5,4.5,5.5,6.8,7.5,3.5,7,7,6.0
10121019,6.0,5.1,4.0,5.7,6.3,5.0,7.3,5.0,7.3,6.0,7.3,8.5,5.0,7,8,7.0
12521082,9.0,9.4,8.8,7.5,8.2,6.1,7.4,8.8,7.5,7.5,8.3,8.5,5.0,8,8,6.0
10121241,6.9,7.6,8.5,7.5,6.8,7.4,7.4,8.3,7.3,6.0,7.5,8.5,5.5,9,7,8.0
12521001,8.7,8.9,6.3,7.4,4.9,6.4,7.2,8.0,6.5,6.0,8.8,8.9,3.5,8,8,7.0
10121023,5.5,7.0,7.0,8.4,7.2,5.3,7.5,7.8,8.5,8.3,8.0,8.6,3.5,9,7,7.0
10121155,7.0,5.7,6.5,7.2,6.2,4.7,7.0,7.0,7.3,6.5,7.5,8.4,5.0,8,10,9.0
10121534,5.8,5.5,5.0,6.8,6.4,6.0,7.3,7.8,7.8,7.5,7.0,8.3,4.0,7,7,7.0
10121479,8.7,5.3,7.5,7.0,4.2,0.0,6.0,4.8,5.0,5.5,7.8,8.4,4.5,7,8,6.0
10121336,7.4,7.7,9.0,7.4,5.3,7.5,6.9,7.3,7.0,8.7,6.2,7.4,2.0,8,6,8.0
10121788,7.7,3.5,6.0,6.3,6.8,6.5,7.7,5.5,7.5,7.8,7.5,8.2,6.5,7,7,7.0
10121046,6.8,5.2,8.3,6.8,5.4,5.5,7.3,6.0,7.5,5.5,7.0,8.2,5.5,6,7,6.0
10121805,7.5,8.7,9.0,8.3,6.5,5.1,7.7,8.3,7.5,7.0,8.5,8.7,4.0,7,8,7.0
10121485,7.0,6.4,7.8,7.3,6.2,6.0,6.4,7.8,7.0,5.0,7.8,8.4,4.5,8,7,7.0
10121810,8.4,9.2,7.5,6.7,6.6,7.2,6.9,5.0,6.5,5.0,8.3,8.4,1.5,7,6,7.0
10121813,6.7,5.8,6.5,8.8,6.5,5.6,5.2,5.0,8.0,7.8,5.5,7.9,0.0,6,6,7.0
10121214,8.5,6.7,6.5,7.7,5.3,4.7,6.5,7.8,7.0,5.0,7.8,8.2,3.0,8,7,7.0
10121602,7.3,6.4,4.5,6.9,5.5,6.1,6.7,6.3,7.3,5.0,6.8,8.2,6.0,6,9,7.0
10121837,5.0,6.7,8.8,8.5,6.3,5.8,6.3,6.8,7.0,6.0,4.0,8.5,3.5,7,8,8.0
10121850,7.7,6.5,5.0,5.9,6.7,7.4,7.5,7.3,7.0,8.5,7.0,8.7,6.5,9,8,10.0
10121860,0.0,0.0,7.3,7.8,5.0,6.0,6.9,2.0,3.3,1.5,5.5,8.0,2.5,6,7,0.0
10121861,7.5,5.3,7.8,8.0,5.5,5.9,7.3,6.3,7.3,7.7,5.8,8.2,7.0,6,8,9.0
10121864,7.5,7.5,6.8,7.8,6.7,5.8,7.3,8.3,6.5,7.5,8.8,8.2,3.0,6,8,8.0
12521031,9.4,9.3,6.5,6.8,6.5,7.6,7.3,8.8,6.3,7.8,8.5,8.2,3.0,8,6,9.0
10121041,7.4,6.4,7.3,7.8,7.3,6.5,6.8,8.5,5.5,3.5,8.0,8.3,4.0,8,8,8.0
10121161,8.9,6.8,9.3,6.3,8.8,8.3,7.0,6.8,7.3,8.0,7.5,8.5,6.0,8,8,7.0
10121443,8.5,7.4,8.0,7.3,6.2,8.3,7.0,8.3,6.8,7.5,7.2,8.1,4.5,8,8,8.0
10121022,4.7,3.9,3.5,7.4,5.9,4.3,6.4,5.8,6.8,6.0,6.8,7.7,6.0,8,7,7.0
10121464,7.2,5.8,8.5,6.9,7.2,5.3,6.9,7.5,6.5,8.5,7.5,8.4,5.0,9,8,8.0
10121591,7.4,7.2,6.5,7.0,7.2,5.8,7.2,6.0,6.8,6.4,7.5,8.1,2.0,8,8,7.0
10121915,8.2,6.4,8.3,7.3,6.3,6.0,7.9,8.8,6.8,6.5,7.8,8.6,2.5,9,8,6.0
10121925,7.6,7.6,8.5,8.8,8.2,8.4,7.3,8.3,7.0,9.3,7.5,8.5,4.5,8,8,7.0
12521157,7.2,5.9,5.5,7.8,4.9,6.4,5.8,6.3,0.0,4.0,6.2,8.2,0.0,7,6,0.0
10121010,7.3,6.4,6.0,7.4,3.8,4.7,5.3,6.3,4.0,1.5,6.5,7.7,0.0,6,7,6.0
10121117,7.2,6.6,6.8,7.5,6.4,7.1,6.0,6.5,5.5,6.7,8.0,8.7,6.5,8,9,8.0
10121605,6.5,7.1,7.5,7.2,7.0,6.1,7.0,7.0,6.8,0.0,6.3,7.0,3.5,8,9,2.0
10121771,8.3,6.8,7.5,8.8,7.7,7.3,7.2,9.0,7.0,5.0,6.5,7.9,8.0,7,8,6.5
10121456,8.7,9.2,8.8,8.8,8.0,7.9,9.2,7.0,7.2,6.8,9.0,8.4,7.8,8,8,8.3
10121130,7.9,4.8,5.0,7.5,6.3,5.8,6.9,8.0,6.2,6.8,8.3,8.4,7.3,8,7,6.5
10121394,9.2,7.3,7.3,8.6,6.8,7.2,6.8,7.0,5.3,6.5,7.5,8.4,5.5,8,8,5.5
10121801,7.3,6.6,7.0,6.3,6.4,7.3,7.3,8.0,6.2,7.8,5.8,7.9,7.5,7,7,8.0
10121814,8.0,7.9,6.3,6.3,6.9,7.9,8.0,7.0,7.0,7.3,6.9,7.9,5.8,8,8,7.5
10121414,9.4,7.7,7.8,8.9,7.0,6.9,6.8,9.0,6.9,7.0,9.3,7.9,6.5,9,9,6.5
10121652,9.2,8.4,8.8,7.3,7.2,7.2,8.2,7.0,6.9,7.0,7.5,8.4,6.0,8,7,7.5
10121352,7.6,6.8,8.3,8.3,5.7,7.2,8.0,8.0,6.4,7.0,7.3,7.9,8.5,8,9,6.3
10121120,8.0,7.2,7.5,8.4,7.5,4.9,5.8,7.0,5.7,5.0,7.5,7.9,6.8,7,9,5.5
10121868,9.2,9.2,9.3,7.8,7.8,6.8,6.9,9.0,6.8,7.5,7.3,8.4,8.5,8,9,7.5
10121869,7.2,8.5,7.8,6.0,6.8,8.2,8.2,9.0,6.7,7.0,8.4,7.7,5.8,8,9,7.3
10121327,7.3,6.7,7.3,8.5,5.7,7.0,5.3,8.0,6.7,7.0,8.0,7.9,5.0,8,9,4.8
10121694,6.4,6.5,6.5,7.3,5.2,6.2,4.8,7.0,6.4,4.5,6.0,8.4,3.3,7,8,1.5
10121888,8.5,7.3,7.8,8.3,0.0,6.0,8.2,8.0,6.0,6.0,7.3,7.9,8.5,7,7,7.3
10121655,5.5,5.8,7.8,7.8,5.4,5.3,5.7,7.0,4.8,6.3,6.8,7.9,5.5,7,9,5.8
10121088,6.7,6.9,8.5,7.8,6.9,7.2,7.4,7.0,6.7,6.5,7.3,7.7,1.5,9,9,2.0
10121454,6.8,6.9,8.5,8.1,7.2,6.0,7.2,7.0,6.5,6.5,8.3,7.2,6.5,7,8,3.8
10121429,6.5,5.2,7.0,7.8,6.7,5.7,3.9,6.0,5.9,5.0,6.8,7.0,5.0,7,7,5.8
10121909,5.8,6.5,7.3,8.0,0.0,6.4,7.8,8.0,7.4,6.8,6.8,7.9,6.8,7,7,6.0
10121923,8.6,9.0,9.0,7.3,8.8,8.7,8.4,8.0,6.9,7.5,7.3,7.7,8.8,8,9,8.3
10121612,8.3,7.7,7.5,6.7,6.4,7.4,7.5,8.0,6.4,6.0,7.3,7.9,6.3,8,7,0.0
10121609,8.0,7.7,5.5,7.0,7.2,7.3,7.8,8.0,6.8,8.3,8.3,7.9,8.8,8,7,8.0
10121935,8.5,9.3,3.5,8.3,9.0,8.9,8.7,7.0,7.8,6.8,7.5,7.2,9.8,8,8,9.0
10121139,6.5,6.5,5.5,6.0,4.1,0.0,5.9,8.0,5.7,4.5,6.8,7.7,2.0,5,6,1.5
10121324,6.7,7.7,8.8,8.3,7.0,5.7,4.4,7.0,6.8,6.8,9.3,7.9,5.0,8,9,6.3
10121589,6.8,5.3,7.3,6.5,5.9,6.2,6.8,9.0,5.5,7.5,6.8,7.9,7.5,9,7,8.0
10121682,6.9,8.6,8.8,8.8,6.8,7.4,7.4,8.0,7.4,6.5,8.5,8.4,6.0,9,9,7.5
10121026,7.2,6.8,7.5,8.3,6.3,7.1,6.8,8.0,6.9,8.0,8.0,7.9,6.3,8,8,7.3
10121738,7.8,8.6,6.0,8.0,5.5,5.3,6.3,6.3,6.0,3.8,7.5,7.1,2.0,7,7,8.0
10121759,8.4,7.2,8.3,8.3,7.3,7.2,6.7,7.8,6.0,7.3,8.5,7.2,5.0,8,7,7.0
10121778,7.2,5.8,8.5,6.5,5.3,5.4,6.9,5.3,6.5,6.5,8.0,7.9,2.5,8,7,7.0
10121961,7.7,3.7,0.0,8.8,7.7,7.1,6.5,9.5,7.3,6.5,7.0,7.2,0.0,6,7,6.0
10121623,4.9,0.0,6.8,6.5,5.8,4.2,6.7,4.5,7.3,7.8,6.5,7.2,4.0,6,7,7.0
10121086,8.6,8.0,8.8,6.5,6.8,6.9,7.2,9.0,7.5,8.0,8.3,7.1,3.0,8,9,7.0
10121666,7.0,5.0,4.0,6.5,6.7,6.7,5.5,5.0,6.3,3.0,5.8,7.0,1.0,6,8,8.0
