Môn học,Đại số tuyến tính,Giải tích,Kiến trúc máy tính, Lập trình Python cơ bản,Cấu trúc dữ liệu và giải thuật,Cơ sở kỹ thuật lập trình, Cơ sở dữ liệu, Lập trình hướng đối tượng ,Lập trình ứng dụng Windows Form,Pháp luật đại cương,Kỹ năng mềm,"Tiếng Anh tăng cường
"," Giáo dục thể chất 1
", Giáo dục thể chất 2,Giáo dục thể chất 3
SỐ TÍN CHỈ,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1,1.0,1
10121747,9.8,8.1,8.3,9.3,7.3,7.3,7.9,7.9,8.3,8.5,8.7,4.5,9,7.0,9
12421027,8.4,7.8,8.8,9.2,7.8,7.0,7.9,8.3,8.3,9.3,8.5,7.5,7,6.0,8
12421037,8.2,9.7,8.0,9.0,7.8,6.7,8.2,7.5,7.5,8.5,8.5,5.5,8,6.0,6
10121758,8.7,9.2,8.5,9.0,8.0,7.9,8.4,8.2,9.3,9.0,8.5,6.0,8,9.0,7
12421034,8.8,9.3,9.3,10.0,7.5,7.5,8.0,6.0,8.0,8.5,8.9,5.5,10,7.0,9
10121793,8.7,8.8,9.3,9.0,8.6,7.4,8.6,7.7,8.0,9.0,8.6,7.0,9,8.0,7
10121795,9.4,8.2,8.5,8.8,8.2,7.5,8.4,7.4,8.0,8.0,8.4,5.5,10,9.0,7
12421031,8.2,8.4,8.8,8.8,7.8,7.9,7.4,8.0,8.0,8.8,8.7,2.5,8,7.0,7
10121437,8.2,8.8,8.8,8.5,7.5,8.2,7.8,8.9,8.0,9.0,8.6,6.0,8,8.0,8
10121840,7.4,9.3,7.8,8.8,8.0,7.0,7.9,8.8,8.0,8.3,8.3,2.5,7,7.0,7
10121865,7.7,8.2,8.5,8.5,8.2,8.2,9.1,8.9,9.5,8.8,8.4,5.0,9,7.0,6
10121867,9.7,8.8,8.5,9.0,8.2,7.8,8.8,9.0,8.0,8.5,8.7,7.0,9,7.0,8
12421041,8.8,9.7,9.3,9.0,8.9,8.8,9.3,9.3,9.8,9.5,8.5,5.5,9,8.0,8
12521033,7.8,9.0,9.0,8.8,7.7,7.6,7.9,8.9,8.5,9.5,8.5,6.5,10,8.0,7
12421036,6.9,9.2,8.5,8.3,7.7,8.2,8.7,8.5,8.8,8.8,8.5,6.0,9,10.0,9
10121906,6.8,7.8,7.3,7.8,7.5,7.7,7.2,7.0,7.0,7.0,8.7,5.0,8,6.0,6
10121927,9.3,8.8,8.3,9.0,7.9,7.2,8.3,8.0,8.3,9.5,8.6,5.5,8,6.0,7
10121931,9.0,9.7,9.5,9.0,8.5,6.9,9.1,8.3,8.5,8.5,8.5,5.5,9,7.0,7
10121969,8.5,9.6,9.0,8.9,8.4,9.0,8.4,9.2,8.8,9.0,8.3,6.5,8,9.0,7
10121945,8.8,8.8,8.3,9.0,7.8,6.0,8.3,7.5,8.3,8.3,8.9,6.5,6,5.0,7
12521156,8.4,9.0,8.3,8.8,7.7,5.8,8.3,7.8,7.5,8.3,8.7,5.5,7,6.0,6
12421025,8.0,8.0,7.5,8.8,7.9,7.4,6.4,7.8,7.0,9.0,8.0,2.0,7,8.0,9
12521096,8.7,9.0,8.5,9.0,8.9,9.1,7.0,8.5,7.0,8.5,8.0,4.0,9,8.0,9
12421033,9.4,7.4,8.0,9.0,6.4,7.2,8.1,7.2,7.8,9.0,7.8,6.0,7,8.0,7
10121726,7.0,6.8,7.8,8.2,6.9,7.1,6.3,6.2,2.5,9.3,7.8,0.0,9,5.0,8
12421028,6.7,6.2,5.8,8.2,6.4,6.4,6.3,7.3,2.5,6.0,7.8,2.0,9,6.0,7
12421029,8.0,7.7,8.5,8.3,8.8,8.2,7.8,8.4,8.0,8.0,7.8,5.5,9,8.0,9
10121689,4.0,6.8,5.0,6.0,6.2,6.4,6.3,6.9,2.5,7.5,7.5,3.0,6,7.0,8
10121773,8.3,7.3,7.3,9.3,8.7,8.2,6.4,7.8,6.5,8.5,7.8,2.5,7,8.0,7
12421007,7.4,6.9,8.0,9.3,7.8,7.6,6.3,7.0,5.8,8.0,7.8,0.0,8,8.0,8
12421014,8.5,8.3,8.3,8.8,7.8,8.5,8.3,7.9,6.5,9.0,8.3,1.5,8,9.0,9
12421035,7.1,6.8,7.8,7.3,7.4,8.0,6.6,7.4,5.8,8.0,8.0,4.0,9,9.0,8
10121826,4.7,6.4,6.8,7.8,7.9,7.5,5.9,7.5,5.0,8.0,8.0,0.0,8,8.0,7
10121831,7.8,7.8,7.3,7.5,6.0,6.2,5.7,6.0,4.5,7.3,8.0,1.5,7,8.0,10
10621280,5.0,5.6,6.0,7.8,6.8,6.6,6.0,5.0,5.5,8.0,8.3,0.0,7,8.0,8
10121006,7.8,6.4,7.8,7.8,7.2,5.7,5.6,5.7,6.3,8.5,8.3,0.0,8,8.0,6
10121880,5.6,6.5,6.5,7.9,6.7,7.1,6.3,6.8,6.3,8.3,7.0,1.5,9,8.0,8
10121583,8.7,9.7,8.3,8.9,7.5,7.4,7.3,7.4,7.8,8.5,8.2,3.0,9,9.0,8
10121690,3.9,6.4,6.0,7.2,6.4,6.7,5.3,5.2,2.5,7.5,7.3,5.0,8,8.0,9
10121624,8.3,7.4,7.8,8.5,7.0,7.4,5.9,7.3,2.5,9.0,8.3,3.5,9,7.0,8
12421002,7.8,7.6,8.0,8.2,8.0,7.4,7.1,8.0,8.3,8.0,8.3,6.5,9,8.0,7
12422001,8.9,9.7,8.0,8.8,7.4,9.0,8.4,8.5,9.3,7.7,9.0,7.5,9,9.0,9
10122063,7.8,9.3,8.0,8.2,8.1,8.8,8.2,8.3,8.3,7.5,8.4,8.0,10,7.0,7
10122069,9.1,9.8,9.3,8.7,9.0,8.8,8.2,9.0,8.8,7.2,9.0,8.5,7,7.0,7
10122071,7.2,9.5,7.5,7.8,7.0,6.5,6.5,6.7,7.5,5.5,8.4,8.0,9,6.0,9
12422004,7.5,9.0,8.3,7.9,8.8,8.5,8.5,9.2,8.0,8.3,9.0,8.5,9,9.0,9
10122125,7.3,8.8,7.8,7.3,6.9,6.0,6.6,8.6,7.5,6.7,9.0,7.0,6,6.0,6
12422006,7.9,9.7,8.3,8.8,8.1,8.0,7.1,7.7,8.0,8.0,9.0,7.0,9,8.0,8
12422008,5.9,7.8,6.0,7.3,5.8,6.0,6.6,7.0,6.3,5.5,9.0,8.5,4,7.0,8
10122151,6.5,6.9,7.3,8.2,8.7,6.5,7.5,7.7,8.4,7.2,8.5,7.0,7,7.0,9
12421038,8.7,9.8,9.3,8.7,8.5,8.6,7.8,7.7,8.5,9.3,8.2,8.0,8,0.0,7
10122167,7.7,7.5,7.8,7.3,6.7,6.8,6.5,8.0,7.8,6.3,8.8,8.0,8,7.0,8
10122185,7.9,7.3,8.0,7.9,8.9,6.3,6.9,8.4,6.8,6.8,8.8,7.5,5,6.0,8
12422011,8.6,7.8,7.8,7.0,6.6,7.5,7.0,7.7,8.3,5.8,8.4,8.0,8,7.0,8
10122197,7.0,8.9,7.8,7.8,7.6,7.8,7.5,7.2,6.8,7.4,8.4,7.0,9,7.0,6
12222193,6.6,7.5,7.5,7.5,8.7,5.8,7.0,8.3,5.5,7.2,9.0,8.5,6,7.0,6
10122212,6.8,8.6,7.0,7.5,6.4,6.5,6.7,7.3,7.8,6.0,8.5,8.0,7,8.0,7
12422014,7.2,8.0,7.8,7.5,7.9,6.8,7.6,8.7,6.0,6.7,9.0,7.0,9,9.0,9
12522079,6.5,9.0,7.0,8.2,8.0,8.5,7.7,8.7,8.8,7.0,8.8,7.5,7,7.0,7
10122384,8.8,9.3,8.5,7.4,7.3,7.5,7.8,7.3,8.3,6.4,8.8,7.5,5,6.0,9
10122404,8.3,9.4,8.8,6.0,6.8,6.7,6.7,7.2,4.0,6.4,8.7,2.0,9,6.0,6
10122408,7.9,8.5,7.3,7.5,6.8,6.0,7.1,7.9,7.3,6.5,8.3,8.0,5,6.0,5
12422002,8.6,8.8,8.0,7.0,6.4,7.3,7.2,7.7,8.6,7.0,8.6,8.0,8,8.0,8
12422003,5.8,8.0,6.8,7.7,6.7,7.5,6.9,7.6,7.3,5.8,8.3,8.5,6,7.0,7
10122076,8.3,8.9,7.5,6.9,5.8,7.3,6.3,6.3,8.5,6.5,7.9,8.0,5,5.0,7
12522018,8.0,10.0,9.5,7.3,8.4,9.0,8.7,8.6,9.0,6.7,9.0,9.0,7,8.0,9
11022298,7.3,9.8,8.8,7.7,8.4,8.5,8.3,7.5,7.0,7.4,8.8,8.0,7,9.0,9
10122119,6.9,9.7,8.3,8.5,8.8,9.8,8.3,8.2,9.0,6.4,9.0,8.0,5,9.0,7
