Môn học,Đại số tuyến tính,Giải tích,Giải tích số,Kiến trúc máy tính,Lập trình Python cơ bản (2+1*),Cấu trúc dữ liệu và giải thuật (2+1*),Cơ sở kỹ thuật lập trình (2+1*),Cơ sở dữ liệu,Lập trình hướng đối tượng (2+1*),Lập trình ứng dụng Windows Form (2+1*),Pháp luật đại cương,Kỹ năng mềm,Tiếng Anh tăng cường,Giáo dục thể chất 1,Giáo dục thể chất 2,Giáo dục thể chất 3
SỐ TÍN CHỈ,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1,1.0,1.0
12521097,8.5,9.5,9.9,9.5,8.8,9.4,9.1,8.7,9.8,9.5,8.3,8.8,6.5,9,7.0,7.0
12521054,8.8,9.0,9.3,7.5,7.2,7.9,8.0,8.0,9.2,8.0,9.0,8.9,5.5,10,9.0,8.0
12521111,8.4,8.1,7.7,7.8,6.3,7.4,7.9,7.5,7.8,6.8,7.0,8.9,3.5,8,8.0,7.0
10121164,8.3,7.7,3.3,6.5,8.8,5.4,7.5,6.0,7.9,5.0,7.8,8.4,3.0,7,7.0,8.0
10121688,6.8,8.3,6.3,7.0,7.5,6.2,5.4,6.7,6.9,5.0,7.5,8.9,4.0,6,7.0,7.0
12521124,5.9,7.7,4.6,6.0,9.0,6.4,5.9,7.0,6.9,4.5,7.8,8.5,3.5,8,8.0,9.0
12521041,7.2,9.3,9.5,8.3,9.0,7.2,7.2,6.4,8.7,5.3,8.0,8.6,4.0,7,8.0,8.0
10121516,8.0,6.7,4.4,7.5,7.7,5.9,6.4,5.7,7.9,4.5,8.8,8.7,2.5,7,7.0,6.0
10121366,7.8,6.9,6.5,6.3,7.5,6.7,6.7,6.4,7.4,4.5,6.5,9.0,3.5,9,6.0,8.0
10121256,7.3,7.7,7.9,5.8,7.8,7.5,8.3,7.7,9.2,5.5,6.5,8.7,3.5,8,8.0,7.0
10121846,8.5,9.1,7.4,8.3,7.5,6.8,6.3,7.2,8.7,5.5,7.8,9.3,0.0,6,9.0,8.0
10121611,7.4,7.9,6.7,6.5,7.9,5.7,5.7,6.8,7.3,5.0,8.3,8.4,0.0,9,8.0,8.0
10121496,5.8,8.7,7.3,4.5,5.2,4.8,5.2,4.9,5.7,4.5,7.8,8.7,3.5,7,7.0,6.0
10121210,9.2,8.0,5.7,7.5,7.0,7.5,8.1,5.8,8.0,5.0,7.8,7.8,4.0,8,7.0,7.0
12521018,8.2,6.6,6.6,5.0,8.0,5.3,5.4,6.8,7.4,4.5,7.8,8.4,4.0,8,7.0,8.0
10620151,6.9,7.5,4.7,8.0,8.9,7.3,7.1,5.4,5.3,4.5,8.5,8.5,4.5,6,9.0,8.0
10121226,7.2,7.7,5.8,7.0,8.5,5.7,6.6,6.2,7.5,4.5,7.8,7.7,4.0,7,7.0,7.0
10121225,8.2,6.9,5.9,6.0,8.8,4.7,6.5,5.9,7.2,4.5,8.0,7.7,2.5,8,7.0,6.0
10121201,8.3,8.9,8.1,6.3,7.2,7.9,7.8,7.2,8.4,5.5,8.3,8.9,4.0,7,8.0,7.0
12521140,8.8,8.4,6.7,6.3,7.8,8.0,6.7,7.9,8.8,2.5,7.5,8.4,2.5,7,8.0,7.0
10121532,6.8,7.8,4.9,7.3,6.5,0.0,7.4,6.0,6.5,4.5,6.5,7.6,3.0,7,7.0,8.0
10121658,7.0,7.9,5.8,5.5,6.8,6.6,7.3,6.8,6.9,2.5,8.0,8.7,0.0,7,5.0,8.0
12220143,9.5,9.1,8.4,9.5,7.9,8.1,8.4,7.4,9.4,8.0,8.5,8.7,3.5,8,6.0,8.0
10119133,8.0,7.0,8.2,0.0,7.5,6.0,6.8,6.8,6.3,7.0,4.3,7.8,,8,8.0,6.0
12521147,8.5,7.9,6.9,7.5,5.5,7.7,8.0,8.0,8.7,2.5,8.0,8.4,0.0,6,6.0,5.0
11021274,8.5,9.2,8.5,7.5,9.5,9.2,8.8,7.3,9.4,9.5,8.5,8.9,4.5,7,8.0,6.0
10121122,8.2,5.8,3.8,5.8,6.3,4.9,6.4,7.4,7.8,5.0,7.8,8.2,3.0,8,8.0,8.0
10121345,7.4,6.9,4.7,3.5,6.9,5.2,5.4,6.3,7.5,2.5,7.3,8.0,3.0,7,7.0,8.0
12221322,8.0,6.9,9.3,7.8,8.4,7.2,7.1,7.3,9.3,5.5,7.3,8.9,5.5,8,6.0,8.0
10121954,7.5,6.7,8.6,5.5,8.0,6.7,6.5,6.5,8.7,5.0,7.8,8.7,5.5,8,7.0,8.0
12521170,5.3,7.4,7.2,7.0,8.5,6.2,6.1,5.7,6.9,5.5,6.0,9.0,5.0,0,8.0,6.0
12521155,9.4,6.2,6.3,,,6.7,8.0,7.7,7.0,5.8,7.3,6.0,7.3,8,7.5,7.0
10121740,8.2,4.3,6.8,,,6.8,7.8,6.3,5.0,6.7,9.0,7.0,6.3,7,6.6,5.9
12521077,5.0,5.4,5.0,,,8.2,7.8,4.9,9.0,5.3,3.5,9.0,5.8,8,5.8,5.5
10121745,7.3,8.0,7.0,,,8.5,7.5,7.2,7.0,6.2,7.8,7.0,5.9,8,7.3,6.5
12521113,8.4,7.2,7.5,,,7.0,8.5,7.5,8.0,6.8,9.0,8.0,8.0,8,7.8,7.5
