student_id,dai_so_tuyen_tinh,giai_tich,kien_truc_may_tinh,lap_trinh_python_co_ban,cau_truc_du_lieu_va_giai_thuat,co_so_ky_thuat_lap_trinh,mang_may_tinh,co_so_tham_my,thiet_ke_do_hoa_co_ban,thiet_ke_web_co_ban,phap_luat_dai_cuong,ky_nang_mem,tieng_anh_tang_cuong,giao_duc_the_chat_1,giao_duc_the_chat_2,giao_duc_the_chat_3,do_an_1,do_hoa_vector,hinh_hoa,thiet_ke_dan_trang,thiet_ke_do_hoa_nang_cao,tieng_anh_1,vat_ly_ky_thuat
so_tin_chi,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1,1,1.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0
10121739,8.7,8.4,8.3,8.8,9.2,7.9,7.9,7.0,9.0,10.0,6.5,8.3,6.0,9,9,7.0,7.3,8.5,8.3,5.8,8.0,8.2,8.7
10121036,7.4,6.7,5.5,7.7,6.4,6.6,7.5,8.0,7.0,5.5,6.3,8.6,2.5,7,6,8.0,6.7,6.5,5.0,7.3,5.0,6.5,7.4
10121045,7.0,5.2,7.5,6.5,5.8,5.6,6.3,6.3,6.8,3.5,7.3,8.2,5.0,8,8,9.0,6.5,7.3,7.0,7.3,7.0,6.5,7.4
10121569,4.0,3.8,5.5,7.8,4.5,4.4,6.9,4.5,4.5,5.5,6.8,7.5,3.5,7,7,6.0,6.4,6.5,6.8,5.8,6.0,6.0,7.1
10121019,6.0,5.1,4.0,5.7,6.3,5.0,7.3,5.0,7.3,6.0,7.3,8.5,5.0,7,8,7.0,6.3,6.0,6.3,7.5,6.0,6.9,6.9
12521082,9.0,9.4,8.8,7.5,8.2,6.1,7.4,8.8,7.5,7.5,8.3,8.5,5.0,8,8,6.0,6.5,5.8,7.3,7.3,6.5,7.4,9.1
10121241,6.9,7.6,8.5,7.5,6.8,7.4,7.4,8.3,7.3,6.0,7.5,8.5,5.5,9,7,8.0,6.8,7.8,6.8,7.3,7.3,7.3,8.6
12521001,8.7,8.9,6.3,7.4,4.9,6.4,7.2,8.0,6.5,6.0,8.8,8.9,3.5,8,8,7.0,5.0,6.0,7.0,7.0,7.3,7.7,8.5
10121023,5.5,7.0,7.0,8.4,7.2,5.3,7.5,7.8,8.5,8.3,8.0,8.6,3.5,9,7,7.0,8.4,8.3,7.8,8.3,7.3,7.5,6.9
10121155,7.0,5.7,6.5,7.2,6.2,4.7,7.0,7.0,7.3,6.5,7.5,8.4,5.0,8,10,9.0,8.2,6.3,5.5,6.0,5.8,5.8,7.1
