student_id,dai_so_tuyen_tinh,giai_tich,kien_truc_may_tinh,lap_trinh_python_co_ban,cau_truc_du_lieu_va_giai_thuat,co_so_ky_thuat_lap_trinh,co_so_du_lieu,lap_trinh_huong_doi_tuong,lap_trinh_ung_dung_windows_form,phap_luat_dai_cuong,ky_nang_mem,tieng_anh_tang_cuong,giao_duc_the_chat_1,giao_duc_the_chat_2,giao_duc_the_chat_3,chu_nghia_xa_hoi_khoa_hoc,cong_nghe_phan_mem,do_an_1,lap_trinh_python_nang_cao,tieng_anh_1,toan_roi_rac
so_tin_chi,2,3,3,3,3,3,3,3,3,2,2,4,1,1,1,2,3,3,3,2,3
10121747,9.8,5,8.3,9.3,7.3,7.3,7.9,7.9,8.3,8.5,8.7,4.5,9,7,9,7.8,8.8,8.5,8.5,7.4,8.4
12421027,8.4,7.8,8.8,9.2,7.8,7,7.9,8.3,8.3,9.3,8.5,7.5,7,6,8,8.7,7.8,8.6,8.5,7.7,6.9
12421037,8.2,9.7,8,9,7.8,6.7,8.2,7.5,7.5,8.5,8.5,5.5,8,6,6,6.9,8.3,8.6,8,6.8,7.9
10121758,8.7,9.2,8.5,9,8,7.9,8.4,8.2,9.3,9,8.5,6,8,9,7,7.9,7.8,8,8.8,6.7,8.4
12421034,8.8,9.3,9.3,10,7.5,7.5,8,6,8,8.5,8.9,5.5,10,7,9,7.2,7.8,8,8.5,7.9,8.9
10121793,8.7,8.8,9.3,9,8.6,7.4,8.6,7.7,8,9,8.6,7,9,8,7,7.9,9,8.8,9,8.1,7.1
10121795,9.4,8.2,8.5,8.8,8.2,7.5,8.4,7.4,8,8,8.4,5.5,10,9,7,7.8,9,9,9,8.4,8.6
12421031,6.5,4,3,8.8,7.8,7.9,6,5,6.8,7,7.6,2.5,8,7,7,6.9,6.8,8.9,7.8,7.4,1.2
10121437,8.2,64,7,8.5,6,8.2,7.8,6,7,5,3,5,8,8,8,0,3.6,7.5,8.5,8.2,8.4
10121840,7.4,9.3,7.8,8.8,8,7,7.9,8.8,8,8.3,8.3,2.5,7,7,7,7.5,7.8,6.8,8.3,6.7,7.6
